,iso_code,month_year,new_vaccinations_smoothed,population,vaccinations_person,per_milion,per_ten_million
148,ARE,2021-04,2338481.0,9441138.0,0.24769058560525226,247690.58560525224,2476905.8560525225
149,ARE,2021-05,2288193.0,9441138.0,0.24236410907244443,242364.10907244444,2423641.0907244445
150,ARE,2021-06,2420349.0,9441138.0,0.2563619978862718,256361.9978862718,2563619.9788627177
151,ARE,2021-07,1556845.0,9441138.0,0.16490014233453637,164900.14233453636,1649001.4233453637
152,ARE,2021-08,1360204.0,9441138.0,0.14407203877329194,144072.03877329195,1440720.3877329195
153,ARE,2021-09,1915179.0,9441138.0,0.20285467705270277,202854.67705270278,2028546.7705270278
154,ARE,2021-10,1098044.0,9441138.0,0.116304199769138,116304.199769138,1163041.99769138
155,ARE,2021-11,781353.0,9441138.0,0.08276046807069233,82760.46807069232,827604.6807069234
156,ARE,2021-12,722615.0,9441138.0,0.07653897231456631,76538.97231456632,765389.7231456632
157,ARE,2022-01,930348.0,9441138.0,0.0985419342456386,98541.93424563861,985419.3424563861
158,ARE,2022-02,629004.0,9441138.0,0.06662374811172128,66623.74811172129,666237.4811172128
159,ARE,2022-03,377180.0,9441138.0,0.03995069238475277,39950.692384752765,399506.92384752765
160,ARE,2022-04,208963.0,9441138.0,0.022133242835768317,22133.242835768317,221332.42835768315
161,ARE,2022-05,193587.0,9441138.0,0.020504625607633317,20504.625607633316,205046.25607633317
162,ARE,2022-06,,9441138.0,,,
163,ARE,2022-07,,9441138.0,,,
164,ARE,2022-08,,9441138.0,,,
165,ARE,2022-09,,9441138.0,,,
166,ARE,2022-10,,9441138.0,,,
167,ARE,2022-11,,9441138.0,,,
168,ARG,2020-12,,45510324.0,,,
169,ARG,2021-01,340633.0,45510324.0,0.0074847412644216725,7484.741264421673,74847.41264421673
170,ARG,2021-02,779015.0,45510324.0,0.017117324851389764,17117.324851389763,171173.24851389765
171,ARG,2021-03,2768139.0,45510324.0,0.06082441865278744,60824.41865278744,608244.1865278744
172,ARG,2021-04,4012266.0,45510324.0,0.0881616663506944,88161.6663506944,881616.6635069441
173,ARG,2021-05,4448276.0,45510324.0,0.09774212989562545,97742.12989562545,977421.2989562545
174,ARG,2021-06,8470023.0,45510324.0,0.18611212260321416,186112.12260321417,1861121.2260321416
175,ARG,2021-07,11145627.0,45510324.0,0.24490326634457713,244903.26634457713,2449032.663445771
176,ARG,2021-08,11012461.0,45510324.0,0.2419772049963872,241977.20499638718,2419772.049963872
177,ARG,2021-09,9294486.0,45510324.0,0.2042280780070913,204228.0780070913,2042280.780070913
178,ARG,2021-10,8598464.0,45510324.0,0.18893436135501915,188934.36135501915,1889343.6135501915
179,ARG,2021-11,8293639.0,45510324.0,0.18223643057342329,182236.43057342328,1822364.3057342328
180,ARG,2021-12,8116428.0,45510324.0,0.17834256684263552,178342.5668426355,1783425.6684263553
181,ARG,2022-01,10835104.0,45510324.0,0.23808013320230373,238080.13320230372,2380801.332023037
182,ARG,2022-02,5963119.0,45510324.0,0.13102783008092844,131027.83008092844,1310278.3008092844
183,ARG,2022-03,2916979.0,45510324.0,0.06409488537150383,64094.885371503835,640948.8537150383
184,ARG,2022-04,2020226.0,45510324.0,0.04439049917552773,44390.49917552773,443904.9917552773
185,ARG,2022-05,4006736.0,45510324.0,0.08804015546011054,88040.15546011055,880401.5546011054
186,ARG,2022-06,3065874.0,45510324.0,0.06736656060721519,67366.56060721519,673665.6060721519
187,ARG,2022-07,1878892.0,45510324.0,0.04128496206706856,41284.96206706856,412849.6206706856
188,ARG,2022-08,1068336.0,45510324.0,0.02347458567862536,23474.58567862536,234745.8567862536
189,ARG,2022-09,556207.0,45510324.0,0.012221556585710091,12221.556585710092,122215.56585710091
190,ARG,2022-10,301577.0,45510324.0,0.006626562359784562,6626.562359784562,66265.62359784562
191,ARG,2022-11,,45510324.0,,,
192,ARM,2020-12,,2780472.0,,,
193,ARM,2021-01,,2780472.0,,,
194,ARM,2021-02,,2780472.0,,,
195,ARM,2021-03,,2780472.0,,,
196,ARM,2021-04,7830.0,2780472.0,0.0028160686387059463,2816.0686387059463,28160.686387059464
197,ARM,2021-05,24064.0,2780472.0,0.00865464568605618,8654.64568605618,86546.4568605618
198,ARM,2021-06,43821.0,2780472.0,0.01576027379524052,15760.27379524052,157602.7379524052
