,iso_code,month_count,total_deaths,population,deaths_month,deaths_person,deaths_honderdduizend,continent,location
2405,ISR,30.0,11788.0,9449000.0,392.93333333333334,4.1584647405369176e-05,4.1584647405369175,Azie,Israel
2406,ISR,30.0,11788.0,9449000.0,392.93333333333334,4.1584647405369176e-05,4.1584647405369175,Azie,Israel
2407,ISR,30.0,11788.0,9449000.0,392.93333333333334,4.1584647405369176e-05,4.1584647405369175,Azie,Israel
2408,ISR,30.0,11788.0,9449000.0,392.93333333333334,4.1584647405369176e-05,4.1584647405369175,Azie,Israel
2409,ISR,30.0,11788.0,9449000.0,392.93333333333334,4.1584647405369176e-05,4.1584647405369175,Azie,Israel
2410,ISR,30.0,11788.0,9449000.0,392.93333333333334,4.1584647405369176e-05,4.1584647405369175,Azie,Israel
2411,ISR,30.0,11788.0,9449000.0,392.93333333333334,4.1584647405369176e-05,4.1584647405369175,Azie,Israel
2412,ISR,30.0,11788.0,9449000.0,392.93333333333334,4.1584647405369176e-05,4.1584647405369175,Azie,Israel
2413,ISR,30.0,11788.0,9449000.0,392.93333333333334,4.1584647405369176e-05,4.1584647405369175,Azie,Israel
2414,ISR,30.0,11788.0,9449000.0,392.93333333333334,4.1584647405369176e-05,4.1584647405369175,Azie,Israel
2415,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2416,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2417,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2418,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2419,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2420,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2421,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2422,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2423,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2424,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2425,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2426,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2427,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2428,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2429,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2430,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2431,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2432,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2433,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2434,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2435,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2436,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2437,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2438,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2439,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2440,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2441,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2442,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2443,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2444,ITA,32.0,179436.0,59037472.0,5607.375,9.497993071248038e-05,9.497993071248038,Europa,Italy
2445,JAM,31.0,3350.0,2827382.0,108.06451612903226,3.822069891123034e-05,3.822069891123034,Noord-America,Jamaica
2446,JAM,31.0,3350.0,2827382.0,108.06451612903226,3.822069891123034e-05,3.822069891123034,Noord-America,Jamaica
2447,JAM,31.0,3350.0,2827382.0,108.06451612903226,3.822069891123034e-05,3.822069891123034,Noord-America,Jamaica
2448,JAM,31.0,3350.0,2827382.0,108.06451612903226,3.822069891123034e-05,3.822069891123034,Noord-America,Jamaica
2449,JAM,31.0,3350.0,2827382.0,108.06451612903226,3.822069891123034e-05,3.822069891123034,Noord-America,Jamaica
2450,JAM,31.0,3350.0,2827382.0,108.06451612903226,3.822069891123034e-05,3.822069891123034,Noord-America,Jamaica
2451,JAM,31.0,3350.0,2827382.0,108.06451612903226,3.822069891123034e-05,3.822069891123034,Noord-America,Jamaica
2452,JAM,31.0,3350.0,2827382.0,108.06451612903226,3.822069891123034e-05,3.822069891123034,Noord-America,Jamaica
2453,JAM,31.0,3350.0,2827382.0,108.06451612903226,3.822069891123034e-05,3.822069891123034,Noord-America,Jamaica
2454,JAM,31.0,3350.0,2827382.0,108.06451612903226,3.822069891123034e-05,3.822069891123034,Noord-America,Jamaica
2455,JAM,31.0,3350.0,2827382.0,108.06451612903226,3.822069891123034e-05,3.822069891123034,Noord-America,Jamaica
