,iso_code,month_year,new_deaths_smoothed,population,deaths_person,per_milion,per_ten_million
2002,ECU,2020-08,897.284,18001002.0,4.984633633172198e-05,49.84633633172198,498.4633633172198
2003,ECU,2020-09,916.43,18001002.0,5.0909943790906745e-05,50.909943790906745,509.09943790906743
2004,ECU,2020-10,1328.288,18001002.0,7.378967015280594e-05,73.78967015280594,737.8967015280593
2005,ECU,2020-11,747.855,18001002.0,4.1545187317905974e-05,41.54518731790598,415.45187317905976
2006,ECU,2020-12,648.142,18001002.0,3.600588456131498e-05,36.00588456131498,360.0588456131498
2007,ECU,2021-01,752.999,18001002.0,4.183094918827297e-05,41.83094918827297,418.3094918827297
2008,ECU,2021-02,918.7139999999999,18001002.0,5.1036825616707336e-05,51.03682561670733,510.36825616707335
2009,ECU,2021-03,1040.574,18001002.0,5.7806448774351565e-05,57.806448774351566,578.0644877435157
2010,ECU,2021-04,1667.573,18001002.0,9.263778760760097e-05,92.63778760760097,926.3778760760097
2011,ECU,2021-05,2032.713,18001002.0,0.00011292221399675418,112.92221399675418,1129.2221399675418
2012,ECU,2021-06,1077.14,18001002.0,5.9837780141349914e-05,59.83778014134992,598.3778014134991
2013,ECU,2021-07,1119.001,18001002.0,6.216326180064865e-05,62.16326180064865,621.6326180064865
2014,ECU,2021-08,794.0,18001002.0,4.410865572927552e-05,44.10865572927552,441.0865572927552
2015,ECU,2021-09,545.429,18001002.0,3.029992441531866e-05,30.299924415318657,302.99924415318657
2016,ECU,2021-10,212.716,18001002.0,1.1816897748247571e-05,11.816897748247571,118.16897748247571
2017,ECU,2021-11,246.144,18001002.0,1.367390548592795e-05,13.67390548592795,136.7390548592795
2018,ECU,2021-12,447.144,18001002.0,2.48399505760846e-05,24.8399505760846,248.39950576084598
2019,ECU,2022-01,806.857,18001002.0,4.4822893747803595e-05,44.8228937478036,448.22893747803596
2020,ECU,2022-02,740.858,18001002.0,4.115648673334962e-05,41.15648673334962,411.5648673334962
2021,ECU,2022-03,210.857,18001002.0,1.1713625719279404e-05,11.713625719279404,117.13625719279403
2022,ECU,2022-04,166.14600000000002,18001002.0,9.229819540045605e-06,9.229819540045604,92.29819540045605
2023,ECU,2022-05,40.716,18001002.0,2.2618740890090453e-06,2.261874089009045,22.618740890090454
2024,ECU,2022-06,83.143,18001002.0,4.618798442442259e-06,4.61879844244226,46.187984424422595
2025,ECU,2022-07,88.288,18001002.0,4.904615865272389e-06,4.904615865272389,49.04615865272389
2026,ECU,2022-08,34.002,18001002.0,1.8888948515199322e-06,1.8888948515199322,18.88894851519932
