,iso_code,month_year,new_vaccinations_smoothed,continent,populatie,vac_person,vac_hundred_duizend
3624,OWID_ASI,2020-12,,Azie,4721383370.0,,
3625,OWID_ASI,2021-01,32686308.0,Azie,4721383370.0,0.006923036203264299,692.30362032643
3626,OWID_ASI,2021-02,58416198.0,Azie,4721383370.0,0.012372686863596083,1237.2686863596082
3627,OWID_ASI,2021-03,140322438.0,Azie,4721383370.0,0.02972061936160884,2972.061936160884
3628,OWID_ASI,2021-04,266094732.0,Azie,4721383370.0,0.056359484317834586,5635.948431783459
3629,OWID_ASI,2021-05,495537470.0,Azie,4721383370.0,0.10495599089637155,10495.599089637155
3630,OWID_ASI,2021-06,830982039.0,Azie,4721383370.0,0.17600393229664804,17600.393229664805
3631,OWID_ASI,2021-07,750706708.0,Azie,4721383370.0,0.15900143012534057,15900.143012534058
3632,OWID_ASI,2021-08,890102122.0,Azie,4721383370.0,0.1885257036435065,18852.57036435065
3633,OWID_ASI,2021-09,717655983.0,Azie,4721383370.0,0.15200120955227578,15200.120955227578
3634,OWID_ASI,2021-10,545803891.0,Azie,4721383370.0,0.11560253599995206,11560.253599995205
3635,OWID_ASI,2021-11,652767830.0,Azie,4721383370.0,0.13825774753809073,13825.774753809072
3636,OWID_ASI,2021-12,785245729.0,Azie,4721383370.0,0.16631687525937974,16631.687525937974
3637,OWID_ASI,2022-01,671898216.0,Azie,4721383370.0,0.14230960787240626,14230.960787240627
3638,OWID_ASI,2022-02,465832206.0,Azie,4721383370.0,0.0986643467590305,9866.43467590305
3639,OWID_ASI,2022-03,399247569.0,Azie,4721383370.0,0.08456156548033082,8456.156548033083
3640,OWID_ASI,2022-04,241281290.0,Azie,4721383370.0,0.051103939479500475,5110.393947950048
3641,OWID_ASI,2022-05,145292484.0,Azie,4721383370.0,0.03077328668610107,3077.328668610107
3642,OWID_ASI,2022-06,157987493.0,Azie,4721383370.0,0.03346211917546531,3346.211917546531
3643,OWID_ASI,2022-07,176559985.0,Azie,4721383370.0,0.03739581626052112,3739.581626052112
3644,OWID_ASI,2022-08,170984730.0,Azie,4721383370.0,0.03621496425951108,3621.496425951108
3645,OWID_ASI,2022-09,107494602.0,Azie,4721383370.0,0.022767607198142015,2276.7607198142014
3646,OWID_ASI,2022-10,58506721.0,Azie,4721383370.0,0.012391859845941721,1239.1859845941722
3647,OWID_ASI,2022-11,,Azie,4721383370.0,,
3720,OWID_EUR,2020-12,723589.0,Europa,744807803.0,0.0009715110355792017,97.15110355792017
3721,OWID_EUR,2021-01,21165278.0,Europa,744807803.0,0.02841710024351074,2841.710024351074
3722,OWID_EUR,2021-02,35934560.0,Europa,744807803.0,0.048246755545873356,4824.675554587336
3723,OWID_EUR,2021-03,62341788.0,Europa,744807803.0,0.08370184596468305,8370.184596468305
3724,OWID_EUR,2021-04,94484327.0,Europa,744807803.0,0.1268573269767422,12685.73269767422
3725,OWID_EUR,2021-05,135771784.0,Europa,744807803.0,0.18229103327479507,18229.103327479508
3726,OWID_EUR,2021-06,148761369.0,Europa,744807803.0,0.19973121710165542,19973.121710165542
3727,OWID_EUR,2021-07,142510803.0,Europa,744807803.0,0.19133903058746554,19133.903058746553
3728,OWID_EUR,2021-08,99878328.0,Europa,744807803.0,0.13409946512066817,13409.946512066817
3729,OWID_EUR,2021-09,57238932.0,Europa,744807803.0,0.07685060732372591,7685.060732372591
3730,OWID_EUR,2021-10,58431893.0,Europa,744807803.0,0.07845231046807387,7845.2310468073865
3731,OWID_EUR,2021-11,92117980.0,Europa,744807803.0,0.12368020263611551,12368.020263611552
3732,OWID_EUR,2021-12,147521472.0,Europa,744807803.0,0.19806649635758447,19806.649635758447
3733,OWID_EUR,2022-01,102253779.0,Europa,744807803.0,0.137288812748918,13728.881274891799
3734,OWID_EUR,2022-02,42094503.0,Europa,744807803.0,0.05651726905981408,5651.726905981408
3735,OWID_EUR,2022-03,18841342.0,Europa,744807803.0,0.02529691810975831,2529.6918109758312
3736,OWID_EUR,2022-04,15748785.0,Europa,744807803.0,0.02114476370489905,2114.476370489905
3737,OWID_EUR,2022-05,10697115.0,Europa,744807803.0,0.014362248833743757,1436.2248833743758
3738,OWID_EUR,2022-06,8321751.0,Europa,744807803.0,0.011173018014152035,1117.3018014152035
3739,OWID_EUR,2022-07,10704624.0,Europa,744807803.0,0.01437233062930196,1437.233062930196
3740,OWID_EUR,2022-08,10658489.0,Europa,744807803.0,0.014310388474810327,1431.0388474810327
3741,OWID_EUR,2022-09,11708554.0,Europa,744807803.0,0.015720235412195326,1572.0235412195325
3742,OWID_EUR,2022-10,12589399.0,Europa,744807803.0,0.016902882796462862,1690.2882796462861
3743,OWID_EUR,2022-11,,Europa,744807803.0,,
3840,OWID_NAM,2020-12,,Noord-America,600323657.0,,
3841,OWID_NAM,2021-01,31709707.0,Noord-America,600323657.0,0.0528210185126854,5282.10185126854
3842,OWID_NAM,2021-02,50346860.0,Noord-America,600323657.0,0.08386619353233317,8386.619353233316
3843,OWID_NAM,2021-03,91035139.0,Noord-America,600323657.0,0.15164343090347346,15164.343090347345
3844,OWID_NAM,2021-04,112336894.0,Noord-America,600323657.0,0.18712721494498757,18712.721494498757
3845,OWID_NAM,2021-05,84683972.0,Noord-America,600323657.0,0.14106385949071468,14106.385949071468
3846,OWID_NAM,2021-06,65566378.0,Noord-America,600323657.0,0.10921838117733881,10921.838117733882
3847,OWID_NAM,2021-07,59947538.0,Noord-America,600323657.0,0.0998586967229912,9985.86967229912
3848,OWID_NAM,2021-08,64334930.0,Noord-America,600323657.0,0.10716707437701394,10716.707437701394
3849,OWID_NAM,2021-09,57338538.0,Noord-America,600323657.0,0.09551270773925206,9551.270773925207
3850,OWID_NAM,2021-10,65237952.0,Noord-America,600323657.0,0.10867129962196376,10867.129962196375
3851,OWID_NAM,2021-11,68312596.0,Noord-America,600323657.0,0.11379294352879384,11379.294352879384
3852,OWID_NAM,2021-12,78916652.0,Noord-America,600323657.0,0.13145684178826222,13145.684178826223
3853,OWID_NAM,2022-01,66034191.0,Noord-America,600323657.0,0.10999764915144765,10999.764915144764
3854,OWID_NAM,2022-02,38019449.0,Noord-America,600323657.0,0.06333158548172957,6333.158548172957
3855,OWID_NAM,2022-03,22949504.0,Noord-America,600323657.0,0.03822855176936664,3822.855176936664
3856,OWID_NAM,2022-04,26363857.0,Noord-America,600323657.0,0.043916072093090945,4391.607209309094
3857,OWID_NAM,2022-05,25943400.0,Noord-America,600323657.0,0.04321568823332245,4321.568823332244
3858,OWID_NAM,2022-06,13695349.0,Noord-America,600323657.0,0.02281327553946454,2281.327553946454
3859,OWID_NAM,2022-07,11947388.0,Noord-America,600323657.0,0.019901577858358496,1990.1577858358496
3860,OWID_NAM,2022-08,10565515.0,Noord-America,600323657.0,0.017599697890966173,1759.9697890966174
3861,OWID_NAM,2022-09,21690330.0,Noord-America,600323657.0,0.03613105988258597,3613.105988258597
3862,OWID_NAM,2022-10,25789688.0,Noord-America,600323657.0,0.042959639686496645,4295.963968649665
3863,OWID_NAM,2022-11,,Noord-America,600323657.0,,
3888,OWID_OCE,2020-12,,Oceanië,45038860.0,,
3889,OWID_OCE,2021-01,,Oceanië,45038860.0,,
3890,OWID_OCE,2021-02,,Oceanië,45038860.0,,
3891,OWID_OCE,2021-03,660951.0,Oceanië,45038860.0,0.014675127212367276,1467.5127212367277
3892,OWID_OCE,2021-04,1816401.0,Oceanië,45038860.0,0.04032963978217921,4032.963978217921
3893,OWID_OCE,2021-05,2619526.0,Oceanië,45038860.0,0.05816146323419376,5816.146323419376
3894,OWID_OCE,2021-06,4165030.0,Oceanië,45038860.0,0.09247636374455304,9247.636374455304
3895,OWID_OCE,2021-07,5459497.0,Oceanië,45038860.0,0.12121747752940461,12121.74775294046
3896,OWID_OCE,2021-08,9064193.0,Oceanië,45038860.0,0.20125271820823173,20125.271820823174
3897,OWID_OCE,2021-09,10613432.0,Oceanië,45038860.0,0.23565054710532193,23565.054710532193
3898,OWID_OCE,2021-10,10228305.0,Oceanië,45038860.0,0.2270995535855037,22709.95535855037
3899,OWID_OCE,2021-11,5062057.0,Oceanië,45038860.0,0.11239309787148254,11239.309787148253
3900,OWID_OCE,2021-12,4192567.0,Oceanië,45038860.0,0.09308776909539895,9308.776909539896
3901,OWID_OCE,2022-01,8219778.0,Oceanië,45038860.0,0.1825041308772025,18250.413087720248
3902,OWID_OCE,2022-02,5885999.0,Oceanië,45038860.0,0.1306871221873733,13068.71221873733
3903,OWID_OCE,2022-03,3004548.0,Oceanië,45038860.0,0.06671012543390308,6671.012543390308
3904,OWID_OCE,2022-04,1634114.0,Oceanië,45038860.0,0.036282312651785595,3628.2312651785596
3905,OWID_OCE,2022-05,589814.0,Oceanië,45038860.0,0.013095668940110829,1309.566894011083
3906,OWID_OCE,2022-06,387841.0,Oceanië,45038860.0,0.008611252593871159,861.1252593871159
3907,OWID_OCE,2022-07,737164.0,Oceanië,45038860.0,0.01636728815960262,1636.728815960262
3908,OWID_OCE,2022-08,532814.0,Oceanië,45038860.0,0.01183009516670715,1183.0095166707151
3909,OWID_OCE,2022-09,2739560.0,Oceanië,45038860.0,0.06082658397659266,6082.658397659266
3910,OWID_OCE,2022-10,161459.0,Oceanië,45038860.0,0.003584882032982185,358.4882032982185
3911,OWID_OCE,2022-11,,Oceanië,45038860.0,,
3912,OWID_SAM,2020-12,,Zuid-America,436816679.0,,
3913,OWID_SAM,2021-01,2040138.0,Zuid-America,436816679.0,0.004670467264827129,467.0467264827129
3914,OWID_SAM,2021-02,10968581.0,Zuid-America,436816679.0,0.025110261414720385,2511.0261414720385
3915,OWID_SAM,2021-03,25826385.0,Zuid-America,436816679.0,0.059124081660810394,5912.40816608104
3916,OWID_SAM,2021-04,38672280.0,Zuid-America,436816679.0,0.08853205900592455,8853.205900592455
3917,OWID_SAM,2021-05,42124334.0,Zuid-America,436816679.0,0.09643481127239649,9643.48112723965
3918,OWID_SAM,2021-06,60375993.0,Zuid-America,436816679.0,0.1382181494035854,13821.81494035854
3919,OWID_SAM,2021-07,83348210.0,Zuid-America,436816679.0,0.1908082131634905,19080.82131634905
3920,OWID_SAM,2021-08,95635283.0,Zuid-America,436816679.0,0.21893688496267333,21893.688496267332
3921,OWID_SAM,2021-09,81657432.0,Zuid-America,436816679.0,0.1869375322090208,18693.75322090208
3922,OWID_SAM,2021-10,79533401.0,Zuid-America,436816679.0,0.18207500954879977,18207.500954879975
3923,OWID_SAM,2021-11,69013495.0,Zuid-America,436816679.0,0.15799189526826654,15799.189526826654
3924,OWID_SAM,2021-12,60181731.0,Zuid-America,436816679.0,0.13777342737409531,13777.342737409532
3925,OWID_SAM,2022-01,66688675.0,Zuid-America,436816679.0,0.15266970838354824,15266.970838354824
3926,OWID_SAM,2022-02,56356957.0,Zuid-America,436816679.0,0.12901741098581082,12901.741098581082
3927,OWID_SAM,2022-03,38699792.0,Zuid-America,436816679.0,0.0885950419489362,8859.504194893621
3928,OWID_SAM,2022-04,27359519.0,Zuid-America,436816679.0,0.06263386980239369,6263.386980239369
3929,OWID_SAM,2022-05,26027893.0,Zuid-America,436816679.0,0.059585391884727,5958.5391884727005
3930,OWID_SAM,2022-06,24317303.0,Zuid-America,436816679.0,0.05566935551927494,5566.935551927494
3931,OWID_SAM,2022-07,21843628.0,Zuid-America,436816679.0,0.050006396390372264,5000.6396390372265
3932,OWID_SAM,2022-08,9961119.0,Zuid-America,436816679.0,0.0228038888597475,2280.38888597475
3933,OWID_SAM,2022-09,6610338.0,Zuid-America,436816679.0,0.015132979846678428,1513.297984667843
3934,OWID_SAM,2022-10,2203355.0,Zuid-America,436816679.0,0.005044118290180948,504.4118290180948
3935,OWID_SAM,2022-11,,Zuid-America,436816679.0,,
