,iso_code,month_count,total_vaccinations,population,vac_month,vac_person,vac_honderdduizend,continent,location
2962,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2963,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2964,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2965,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2966,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2967,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2968,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2969,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2970,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2971,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2972,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2973,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2974,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2975,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2976,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2977,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2978,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2979,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
