,iso_code,month_count,total_cases,population,cases_month,cases_person,cases_honderdduizend,continent,location
3086,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3087,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3088,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3089,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3090,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3091,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3092,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3093,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3094,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3095,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3096,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3097,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3098,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3099,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3100,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3101,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3102,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3103,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3104,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3105,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3106,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3107,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3108,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3109,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3110,MDG,31.0,66788.0,29611718.0,2154.451612903226,7.275672464877674e-05,7.275672464877674,Afrika,Madagascar
3111,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3112,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3113,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3114,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3115,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3116,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3117,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3118,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3119,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3120,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3121,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3122,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3123,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3124,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3125,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3126,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3127,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3128,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3129,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3130,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3131,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3132,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3133,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3134,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3135,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3136,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3137,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3138,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3139,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3140,MDV,31.0,185454.0,523798.0,5982.387096774193,0.01142117208690028,1142.117208690028,Azie,Maldives
3141,MEX,32.0,7115535.0,127504120.0,222360.46875,0.0017439473230355224,174.39473230355225,Noord-America,Mexico
3142,MEX,32.0,7115535.0,127504120.0,222360.46875,0.0017439473230355224,174.39473230355225,Noord-America,Mexico
3143,MEX,32.0,7115535.0,127504120.0,222360.46875,0.0017439473230355224,174.39473230355225,Noord-America,Mexico
3144,MEX,32.0,7115535.0,127504120.0,222360.46875,0.0017439473230355224,174.39473230355225,Noord-America,Mexico
3145,MEX,32.0,7115535.0,127504120.0,222360.46875,0.0017439473230355224,174.39473230355225,Noord-America,Mexico
